sno	Collected_miRNA_name	Accession	Symbol	Description	Mature_Sequence	Gene_Family	Organism_Mapped	Biomarker_Type	PMID	Organism_Tested	Organism_Strain	Gender	Age_In_Years	Tested_Cell_Type	Exposed_Area	Exposed_Area_Type	Radiation_Type	Dosage_Rate	Dose	Study_Type	Control	Sampling_Time_In_hrs	Type_Of_OMICS_Data	Testing_Method	Regulation	Tested_Cell_Or_Tissue_OLS	Identifier_OLS	Identifier_Type_OLS	Empty_col
42	hsa-miR-34b-5p	MI0000742	HGNC:MIR34B	miR-34b stem-loop	MIMAT0000685	MIPF0000039; mir-34	Human	miRNA	25069581	Homo sapiens				Human dermal papilla cells	Human dermal papilla cells	Cell	UVB-radiation		500	In vitro	No irradiation	24	Genomics	miRNA microarray	Up	hair follicle dermal papilla cell	CL_0000346	Cell Ontology	
43	hsa-let-7b	MI0000063	HGNC:MIRLET7B	let-7b stem-loop		MIPF0000002; let-7	Human	miRNA	22417313	Homo sapiens				Normal human keratinocytes	Normal human keratinocytes	Cell	UVB-radiation		300	In vitro	No irradiation	24	Genomics	miRNA microarray	Up	keratinocyte	CL_0000312	Cell Ontology	
44	hsa-let-7b	MI0000063	HGNC:MIRLET7B	let-7b stem-loop		MIPF0000002; let-7	Human	miRNA	22417313	Homo sapiens				Normal human keratinocytes	Normal human keratinocytes	Cell	UVB-radiation		600	In vitro	No irradiation	24	Genomics	miRNA microarray	Down	keratinocyte	CL_0000312	Cell Ontology	
45	hsa-let-7b	MI0000063	HGNC:MIRLET7B	let-7b stem-loop		MIPF0000002; let-7	Human	miRNA	22417313	Homo sapiens				Normal human keratinocytes	Normal human keratinocytes	Cell	UVB-radiation		300	In vitro	No irradiation	4	Genomics	miRNA microarray	Up	keratinocyte	CL_0000312	Cell Ontology	
46	hsa-let-7b	MI0000063	HGNC:MIRLET7B	let-7b stem-loop		MIPF0000002; let-7	Human	miRNA	22417313	Homo sapiens				Normal human keratinocytes	Normal human keratinocytes	Cell	UVB-radiation		600	In vitro	No irradiation	4	Genomics	miRNA microarray	Up	keratinocyte	CL_0000312	Cell Ontology	
47	hsa-let-7c	MI0000064	HGNC:MIRLET7C	let-7c stem-loop		MIPF0000002; let-7	Human	miRNA	22417313	Homo sapiens				Normal human keratinocytes	Normal human keratinocytes	Cell	UVB-radiation		600	In vitro	No irradiation	24	Genomics	miRNA microarray	Down	keratinocyte	CL_0000312	Cell Ontology	
48	hsa-let-7c	MI0000064	HGNC:MIRLET7C	let-7c stem-loop		MIPF0000002; let-7	Human	miRNA	22417313	Homo sapiens				Normal human keratinocytes	Normal human keratinocytes	Cell	UVB-radiation		300	In vitro	No irradiation	4	Genomics	miRNA microarray	Up	keratinocyte	CL_0000312	Cell Ontology	
49	hsa-let-7g	MI0000433	HGNC:MIRLET7G	let-7g stem-loop		MIPF0000002; let-7	Human	miRNA	22417313	Homo sapiens				Normal human keratinocytes	Normal human keratinocytes	Cell	UVB-radiation		300	In vitro	No irradiation	24	Genomics	miRNA microarray	Up	keratinocyte	CL_0000312	Cell Ontology	
50	hsa-let-7g	MI0000433	HGNC:MIRLET7G	let-7g stem-loop		MIPF0000002; let-7	Human	miRNA	22417313	Homo sapiens				Normal human keratinocytes	Normal human keratinocytes	Cell	UVB-radiation		600	In vitro	No irradiation	24	Genomics	miRNA microarray	Down	keratinocyte	CL_0000312	Cell Ontology	
51	hsa-let-7g	MI0000433	HGNC:MIRLET7G	let-7g stem-loop		MIPF0000002; let-7	Human	miRNA	22417313	Homo sapiens				Normal human keratinocytes	Normal human keratinocytes	Cell	UVB-radiation		300	In vitro	No irradiation	4	Genomics	miRNA microarray	Up	keratinocyte	CL_0000312	Cell Ontology	
52	hsa-let-7g	MI0000433	HGNC:MIRLET7G	let-7g stem-loop		MIPF0000002; let-7	Human	miRNA	22417313	Homo sapiens				Normal human keratinocytes	Normal human keratinocytes	Cell	UVB-radiation		600	In vitro	No irradiation	4	Genomics	miRNA microarray	Up	keratinocyte	CL_0000312	Cell Ontology	
